mean,median,std,rms,min,max,range,skewness,kurtosis,zero_crossings,hjorth_activity,hjorth_mobility,hjorth_complexity,q25,q75,iqr
-1.5632625614381311e-06,1.752216107245955e-06,3.684195974902706e-05,3.687511068437523e-05,-0.00011440841702162683,0.00012581732543369184,0.00024022574245531869,0.1663864285792234,1.1981722346982133,144,1.3573299981489298e-09,0.106106689831129,8.335893036342586,-2.2456006583016626e-05,1.728858403948574e-05,3.9744590622502367e-05
2.3059390082589512e-07,1.9290551678109616e-06,2.8600991993222755e-05,2.860192155334131e-05,-0.00010543102542314199,9.485789238375987e-05,0.00020028891780690184,-0.3836843865626484,0.6941041537646382,249,8.180167429963921e-10,0.16674578019013905,4.436394955292381,-1.3655188376581458e-05,1.7728886502141854e-05,3.138407487872331e-05
-1.537896615636021e-07,-3.2021044883689527e-06,3.817073662724316e-05,3.817104643478308e-05,-9.48999427707574e-05,0.00013110816232072571,0.00022600810509148313,0.773903906920355,1.3971168886276288,171,1.4570051346663623e-09,0.11028308489688322,6.991836482648433,-2.2989603080580015e-05,1.6284710365900067e-05,3.927431344648008e-05
-2.958112429441181e-07,-2.779844533209815e-06,3.412919821527326e-05,3.413048014764609e-05,-0.00012600077631192688,0.00012621313953083442,0.00025221391584276127,0.68969687391757,1.6167961505038146,272,1.1648021708174115e-09,0.1848281334119173,4.902107674505981,-1.9875200201049866e-05,1.615079241782367e-05,3.602599261887354e-05
6.637415677289352e-07,-4.1187987006558085e-07,2.7572790976251703e-05,2.758077872520641e-05,-8.279899721630453e-05,9.792166360691324e-05,0.00018072066082321775,0.294245369408039,0.8507623731160061,243,7.602588022200674e-10,0.23393677508481825,4.557866433954175,-1.5696943748937343e-05,1.5900355927146124e-05,3.159729967608347e-05
1.2791775578932305e-06,9.838192055370808e-07,3.3984927462654316e-05,3.400899277935901e-05,-9.536674963168562e-05,0.00011440653280745297,0.0002097732824391386,0.05595862037894554,0.4417440135337438,172,1.1549752946418756e-09,0.11861321523728773,6.334260654245108,-1.6533797906177483e-05,2.1257973166564226e-05,3.779177107274171e-05
-3.3665062196826365e-07,7.888520716962389e-07,3.2164647103383836e-05,3.216640882856664e-05,-0.00010064053083076126,0.00010967682246575449,0.00021031735329651575,0.022719653773366395,0.5704609313698832,197,1.0345645232852184e-09,0.13507037444476303,5.241542595866443,-1.7334337126741234e-05,1.7487829797852464e-05,3.4822166924593695e-05
6.789771405662816e-07,-5.093340857282554e-07,3.249051749190745e-05,3.2497611248357245e-05,-8.020383377794347e-05,0.00013443916107391566,0.00021464299485185912,0.5871905924923404,1.12507704287387,202,1.0556337268919438e-09,0.1316204865736758,5.420020890876403,-2.0185949980060603e-05,1.9569553695830693e-05,3.975550367589129e-05
7.037272274173361e-10,-5.977493330641697e-06,4.257168002259797e-05,4.2571680028414414e-05,-0.00011771683194810365,0.00012725173644963404,0.0002449685683977377,0.36956212191447985,0.005527260995877636,125,1.8123479399464671e-09,0.1064941177678642,6.25469493545222,-2.8642669407390106e-05,2.6364021936978628e-05,5.500669134436874e-05
-2.15154327955818e-06,-3.5918636099812782e-06,4.0483726957785864e-05,4.0540859473824306e-05,-0.00010233282909073837,0.00013063373936928206,0.00023296656846002043,0.3149824134185278,0.07046931602464879,196,1.638932148392558e-09,0.14797394195053512,6.010418559335407,-2.7821722121402893e-05,2.2395322822522503e-05,5.0217044943925396e-05
1.6708866707641593e-07,9.399309223573843e-07,2.3358066557452857e-05,2.335866417253056e-05,-9.484501586210909e-05,7.939999349008141e-05,0.0001742450093521905,-0.09385512962534553,0.962358155478849,341,5.455992733023975e-10,0.3116369621840658,3.3886622513799063,-1.2857205801682012e-05,1.3410293865152798e-05,2.626749966683481e-05
7.63263818582493e-08,6.320346882685807e-07,2.6297242566567146e-05,2.6297353333015067e-05,-8.001462151645696e-05,8.035454516490107e-05,0.00016036916668135803,0.016071706832061532,-0.07382682785342487,161,6.915449666048711e-10,0.15476528831109718,5.56101828539326,-1.7348997935719084e-05,1.7754459416553235e-05,3.510345735227232e-05
8.806104368716145e-08,-7.919044580266525e-07,2.662158621807898e-05,2.6621731865414542e-05,-0.00010382957803096478,9.135151024756016e-05,0.00019518108827852495,0.2338293626629798,1.3692638370617916,280,7.087088527666128e-10,0.17489365850160538,4.4515197556411366,-1.4575881281877993e-05,1.2915528873819214e-05,2.7491410155697205e-05
-3.4039055903985646e-07,-1.4157369033682353e-06,3.301002394696939e-05,3.301177890862861e-05,-0.0001221396293492985,0.00012628620674115873,0.0002484258360904572,0.5705501317605005,2.0749346430832514,200,1.0896616809794927e-09,0.13859981077797492,5.446702158162627,-1.901213855863017e-05,1.5072856740520984e-05,3.4084995299151155e-05
